frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_candidate_path,has_model_path,has_control_path,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,planner_mode,path_source,bev_mask_occ_ratio,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,0.33037853240966797,2026-03-06T12:02:18.609050,143.99,0.0,10.54,28.56,1.56,0.0,0.0,204.09,0.0,0.096,0.096,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,1.0,0,NORMAL,0.0,0.0,1,1,1,1,1,125.6,123,12,dijkstra,graph,0.62973,0,,,,,,0,,,,285973,188320,4543
1,0.5554485321044922,2026-03-06T12:02:18.834120,127.06,0.0,11.08,28.63,1.48,0.0,0.0,192.82,4.44,0.161,0.128,STRAIGHT,1.5,1.5,"CMD,0.1,1.50",4.0,0.007,2.511,0.022,1,0.9494,0,NORMAL,2.595,-0.068,1,1,1,1,1,125.6,116,9,dijkstra,graph,0.61686,0,,,,,,0,,,,275006,184570,4359
2,0.7717628479003906,2026-03-06T12:02:19.050434,126.65,0.0,12.59,26.53,1.1,0.0,0.0,189.32,4.54,0.203,0.161,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.9539,0,NORMAL,6.142,-0.139,1,1,1,1,1,125.6,115,11,dijkstra,graph,0.62388,0,,,,,,0,,,,282699,186629,4203
3,0.9847972393035889,2026-03-06T12:02:19.263469,127.33,0.0,10.61,26.1,1.31,0.0,0.0,187.14,4.58,0.232,0.203,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.9759,0,NORMAL,8.447,-0.095,1,1,1,1,1,125.6,120,10,dijkstra,graph,0.6263,0,,,,,,0,,,,283233,187447,4348
4,1.1834361553192139,2026-03-06T12:02:19.462108,119.86,0.0,9.21,25.98,1.0,0.0,0.0,175.61,4.69,0.251,0.232,STRAIGHT,1.5,1.5,"CMD,0.2,1.50",4.0,0.007,2.511,0.022,1,0.968,0,NORMAL,9.224,-0.087,1,1,1,1,1,125.6,111,11,dijkstra,graph,0.61254,0,,,,,,0,,,,276198,183373,4280
5,1.383481740951538,2026-03-06T12:02:19.662153,126.3,0.0,8.42,24.91,1.0,0.0,0.0,179.17,4.75,0.264,0.251,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9631,0,NORMAL,11.876,-0.009,1,1,1,1,1,125.6,111,9,dijkstra,graph,0.61448,0,,,,,,0,,,,279873,183773,4291
6,1.5869803428649902,2026-03-06T12:02:19.865652,126.28,0.0,9.34,25.9,1.02,0.0,0.0,181.61,4.77,0.272,0.264,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9653,0,NORMAL,15.547,0.029,1,1,1,1,1,125.6,119,10,dijkstra,graph,0.62316,0,,,,,,0,,,,281026,186440,4537
7,1.8030636310577393,2026-03-06T12:02:20.081735,135.94,0.0,8.38,29.73,1.25,0.0,0.0,194.11,4.75,0.28,0.272,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.466,0.022,1,0.9705,0,NORMAL,19.901,0.066,1,1,1,1,1,123.3,118,10,dijkstra,graph,0.62233,0,,,,,,0,,,,278841,186187,4238
8,2.0446534156799316,2026-03-06T12:02:20.323325,155.57,0.0,10.31,27.19,1.0,0.0,0.0,215.77,4.67,0.283,0.28,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9549,0,NORMAL,22.382,0.153,1,1,1,1,1,125.6,119,11,dijkstra,graph,0.60928,0,,,,,,0,,,,269374,182274,4316
9,2.2397072315216064,2026-03-06T12:02:20.518379,126.77,0.0,7.95,21.41,1.0,0.0,0.0,175.49,4.71,0.285,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9574,0,NORMAL,22.308,0.191,1,1,1,1,1,125.6,100,8,dijkstra,graph,0.61715,0,,,,,,0,,,,275216,184743,4377
10,2.4494071006774902,2026-03-06T12:02:20.728079,133.76,0.0,9.12,23.27,1.16,0.0,0.0,188.22,4.72,0.283,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.557,0.022,1,0.9126,0,NORMAL,24.093,0.198,1,1,1,1,1,127.9,123,13,dijkstra,graph,0.58798,0,,,,,,0,,,,254195,175828,4051
11,2.6504406929016113,2026-03-06T12:02:20.929112,129.96,0.0,7.82,24.15,1.0,0.0,0.0,178.57,4.74,0.279,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0066,2.603,0.022,1,0.9187,0,NORMAL,26.949,0.151,1,1,1,1,1,130.2,129,8,dijkstra,graph,0.60043,0,,,,,,0,,,,268445,179472,3907
12,2.888747453689575,2026-03-06T12:02:21.167419,145.71,0.0,9.62,33.65,0.0,0.0,1.22,211.96,4.69,0.276,0.279,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0066,2.603,0.022,1,0.9053,0,NORMAL,27.608,-0.033,1,1,1,1,1,130.2,211,11,dijkstra,graph,0.66244,0,,,,,,0,,,,290871,198202,5293
13,3.089637517929077,2026-03-06T12:02:21.368309,130.09,0.0,8.18,23.5,0.0,0.0,0.0,181.92,4.71,0.275,0.276,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0066,2.603,0.022,1,0.9772,0,NORMAL,27.28,-0.129,1,1,1,1,1,130.2,120,9,dijkstra,graph,0.67318,0,,,,,,0,,,,290413,201307,4840
14,3.2977135181427,2026-03-06T12:02:21.576385,126.12,0.0,7.93,35.49,1.04,0.0,0.0,186.6,4.72,0.273,0.275,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0066,2.603,0.022,1,0.9651,0,NORMAL,27.009,-0.247,1,1,1,1,1,130.2,213,9,dijkstra,graph,0.6795,0,,,,,,0,,,,292563,203381,5361
15,3.5087380409240723,2026-03-06T12:02:21.787409,125.63,0.0,9.19,35.32,0.44,0.0,0.0,187.42,4.72,0.275,0.275,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0067,2.557,0.022,1,0.9677,0,NORMAL,28.283,-0.337,1,1,1,1,1,127.9,218,10,dijkstra,graph,0.68105,0,,,,,,0,,,,291729,203631,5308
16,3.7466487884521484,2026-03-06T12:02:22.025320,143.71,0.0,9.49,38.97,1.58,0.0,0.0,215.53,4.68,0.28,0.275,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9523,0,NORMAL,29.803,-0.353,1,1,1,1,1,125.6,211,10,dijkstra,graph,0.68017,0,,,,,,0,,,,290091,203422,5300
17,3.9931647777557373,2026-03-06T12:02:22.271836,143.14,0.0,10.05,46.19,1.65,0.0,0.0,221.92,4.64,0.283,0.28,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.007,2.511,0.022,1,0.9497,0,NORMAL,30.69,-0.371,1,1,1,1,1,125.6,272,15,dijkstra,graph,0.66163,0,,,,,,0,,,,277277,198097,5598
18,4.225803375244141,2026-03-06T12:02:22.504475,141.17,0.0,7.93,38.89,0.0,0.0,1.29,210.95,4.62,0.287,0.283,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0072,2.466,0.022,1,0.9407,0,NORMAL,29.983,-0.402,1,1,1,1,1,123.3,265,13,dijkstra,graph,0.68205,0,,,,,,0,,,,278167,203981,5526
19,4.431872844696045,2026-03-06T12:02:22.710545,118.9,0.0,7.62,41.81,1.01,0.0,0.0,188.51,4.63,0.294,0.287,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0075,2.42,0.022,1,0.9262,0,NORMAL,30.981,-0.397,1,1,1,1,1,121.0,254,12,dijkstra,graph,0.65376,0,,,,,,0,,,,259192,195593,5349
20,4.656857252120972,2026-03-06T12:02:22.935529,131.7,0.0,8.34,41.68,1.06,0.0,0.58,202.79,4.62,0.302,0.294,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0077,2.374,0.022,1,0.9044,0,NORMAL,33.188,-0.369,1,1,1,1,1,118.7,272,18,dijkstra,graph,0.68514,0,,,,,,0,,,,281440,204838,5957
21,4.867895126342773,2026-03-06T12:02:23.146567,124.79,0.0,7.87,41.55,1.13,0.0,0.0,192.29,4.63,0.312,0.302,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.008,2.329,0.022,1,0.9677,0,NORMAL,34.278,-0.344,1,1,1,1,1,116.5,266,18,dijkstra,graph,0.68802,0,,,,,,0,,,,281241,205782,6052
22,5.081551551818848,2026-03-06T12:02:23.360223,125.07,0.0,8.95,42.25,0.93,0.0,0.81,194.6,4.63,0.318,0.312,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.008,2.329,0.022,1,0.9541,0,NORMAL,34.987,-0.407,1,1,1,1,1,116.5,239,14,dijkstra,graph,0.68258,0,,,,,,0,,,,271229,204201,5660
23,5.29583477973938,2026-03-06T12:02:23.574506,117.03,0.0,9.01,44.17,0.45,0.0,0.78,191.63,4.63,0.322,0.318,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.008,2.329,0.022,1,0.9236,0,NORMAL,36.76,-0.43,1,1,1,1,1,116.5,234,13,dijkstra,graph,0.66486,0,,,,,,0,,,,254744,199087,5405
24,5.546137571334839,2026-03-06T12:02:23.824809,155.05,0.0,8.77,28.83,14.38,0.0,0.0,228.42,4.6,0.436,0.322,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0161,3.992,0.128,1,0.8078,0,NORMAL,40.886,-0.509,1,1,1,1,1,224.9,139,18,dijkstra,fallback_centerline,0.60196,0,,,,,,0,,,,206638,180651,4515
25,5.744870185852051,2026-03-06T12:02:24.023542,126.51,0.0,8.91,20.39,1.23,0.0,0.0,176.48,4.62,0.683,0.436,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0286,1.279,0.023,1,0.8468,0,NORMAL,44.675,-0.713,1,1,1,1,1,63.9,78,15,dijkstra,graph,0.59432,0,,,,,,0,,,,194308,178371,3669
26,5.939436674118042,2026-03-06T12:02:24.218108,122.95,0.0,8.49,21.03,0.86,0.0,0.0,172.97,4.64,0.569,0.569,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.0082,2.283,0.021,1,0.7595,0,NORMAL,45.365,-0.528,1,1,1,1,1,114.2,89,15,dijkstra,graph,0.60738,0,,,,,,0,,,,228521,181941,4065
27,6.134815454483032,2026-03-06T12:02:24.413487,125.82,0.0,7.7,20.1,0.86,0.0,0.0,175.32,4.65,0.501,0.569,STRAIGHT,1.5,1.5,"CMD,0.6,1.50",4.0,0.0089,2.192,0.021,1,0.8984,0,NORMAL,47.866,-0.298,1,1,1,1,1,109.6,81,13,dijkstra,graph,0.6394,0,,,,,,0,,,,239761,191641,4349
28,6.337650775909424,2026-03-06T12:02:24.616322,124.91,0.0,8.49,25.36,1.03,0.0,0.0,179.72,4.66,0.453,0.501,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0086,2.237,0.022,1,0.9139,0,NORMAL,51.406,-0.258,1,1,1,1,1,111.9,115,16,dijkstra,graph,0.64331,0,,,,,,0,,,,251352,192825,4656
29,6.541097640991211,2026-03-06T12:02:24.819769,129.39,0.0,8.64,20.55,0.0,0.0,1.36,179.8,4.67,0.42,0.453,STRAIGHT,1.5,1.5,"CMD,0.5,1.50",4.0,0.0086,2.237,0.022,1,0.9516,0,NORMAL,51.071,-0.206,1,1,1,1,1,111.9,77,15,dijkstra,graph,0.63944,0,,,,,,0,,,,246341,191458,4266
30,6.7468297481536865,2026-03-06T12:02:25.025501,129.47,0.0,8.27,25.59,0.89,0.0,0.37,183.19,4.68,0.399,0.42,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9247,0,NORMAL,50.971,-0.102,1,1,1,1,1,111.9,116,14,dijkstra,graph,0.62802,0,,,,,,0,,,,239198,188056,4241
31,6.9459733963012695,2026-03-06T12:02:25.224645,124.48,0.0,6.51,24.16,1.19,0.0,0.0,176.68,4.7,0.379,0.399,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9556,0,NORMAL,50.835,-0.057,1,1,1,1,1,114.2,101,14,dijkstra,graph,0.62587,0,,,,,,0,,,,235673,187437,4334
32,7.141451597213745,2026-03-06T12:02:25.420123,120.12,0.0,10.59,19.32,1.83,0.0,0.0,172.73,4.71,0.366,0.379,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9367,0,NORMAL,50.621,-0.039,1,1,1,1,1,114.2,73,15,dijkstra,graph,0.62789,0,,,,,,0,,,,233917,188179,4415
33,7.334262847900391,2026-03-06T12:02:25.612934,120.77,0.0,9.55,20.83,1.06,0.0,0.0,171.74,4.71,0.357,0.366,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9553,0,NORMAL,50.381,-0.054,1,1,1,1,1,114.2,73,17,dijkstra,graph,0.62403,0,,,,,,0,,,,236086,186926,4491
34,7.574210166931152,2026-03-06T12:02:25.852882,159.23,0.0,10.31,25.91,1.03,0.0,1.0,217.57,4.68,0.351,0.357,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9259,0,NORMAL,50.144,-0.099,1,1,1,1,1,114.2,115,14,dijkstra,graph,0.61554,0,,,,,,0,,,,237271,184314,4393
35,7.7943806648254395,2026-03-06T12:02:26.073052,143.57,0.0,8.7,23.15,0.55,0.0,1.01,197.99,4.67,0.347,0.351,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9699,0,NORMAL,50.045,-0.109,1,1,1,1,1,114.2,108,15,dijkstra,graph,0.61463,0,,,,,,0,,,,239861,183960,4145
36,8.021392583847046,2026-03-06T12:02:26.300064,147.09,0.0,10.64,26.25,1.17,0.0,0.0,203.62,4.66,0.345,0.347,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0082,2.283,0.021,1,0.97,0,NORMAL,50.0,-0.152,1,1,1,1,1,114.2,119,14,dijkstra,graph,0.61469,0,,,,,,0,,,,239634,183998,4292
37,8.217541456222534,2026-03-06T12:02:26.496213,121.49,0.0,7.82,23.91,1.03,0.0,0.0,173.65,4.7,0.343,0.345,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0082,2.283,0.021,1,0.969,0,NORMAL,50.038,-0.135,1,1,1,1,1,114.2,113,16,dijkstra,graph,0.61773,0,,,,,,0,,,,242862,184899,4767
38,8.409952163696289,2026-03-06T12:02:26.688624,118.33,0.0,8.82,23.27,1.28,0.0,0.0,170.9,4.7,0.347,0.345,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0086,2.237,0.022,1,0.9675,0,NORMAL,50.135,-0.096,1,1,1,1,1,111.9,99,16,dijkstra,graph,0.62089,0,,,,,,0,,,,243691,185887,4558
39,8.616228580474854,2026-03-06T12:02:26.894900,130.29,0.0,9.32,23.61,0.5,0.0,0.87,183.66,4.7,0.35,0.347,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0086,2.237,0.022,1,0.9648,0,NORMAL,50.361,-0.127,1,1,1,1,1,111.9,108,20,dijkstra,graph,0.62393,0,,,,,,0,,,,247138,186740,4769
40,8.807758331298828,2026-03-06T12:02:27.086430,120.11,0.0,8.53,22.33,1.28,0.0,0.0,170.12,4.71,0.352,0.35,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9577,0,NORMAL,50.723,-0.141,1,1,1,1,1,111.9,97,20,dijkstra,graph,0.62986,0,,,,,,0,,,,252211,188748,4721
41,8.998971462249756,2026-03-06T12:02:27.277643,115.94,0.0,9.11,25.02,1.0,0.0,0.0,169.87,4.75,0.353,0.352,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9774,0,NORMAL,50.949,-0.107,1,1,1,1,1,111.9,105,18,dijkstra,graph,0.63207,0,,,,,,0,,,,253328,189276,4799
42,9.198324918746948,2026-03-06T12:02:27.476996,121.59,0.0,9.14,25.51,1.81,0.0,0.0,176.65,4.75,0.354,0.353,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9445,0,NORMAL,51.553,-0.156,1,1,1,1,1,111.9,120,15,dijkstra,graph,0.61244,0,,,,,,0,,,,245451,183317,4475
43,9.38631010055542,2026-03-06T12:02:27.664982,117.91,0.0,7.52,22.04,1.02,0.0,0.0,165.95,4.76,0.349,0.353,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9095,0,NORMAL,51.763,0.094,1,1,1,1,1,114.2,108,12,dijkstra,graph,0.5663,0,,,,,,0,,,,227357,169307,4023
44,9.580970525741577,2026-03-06T12:02:27.859642,117.56,0.0,8.4,26.76,0.81,0.0,0.0,173.2,4.78,0.346,0.349,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0082,2.283,0.021,1,0.9607,0,NORMAL,51.825,0.185,1,1,1,1,1,114.2,145,13,dijkstra,graph,0.58643,0,,,,,,0,,,,230031,175301,4141
45,9.772478580474854,2026-03-06T12:02:28.051150,118.39,0.0,9.64,23.3,1.01,0.0,0.0,169.65,4.81,0.344,0.346,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0082,2.283,0.021,1,0.8887,0,NORMAL,52.017,0.211,1,1,1,1,1,114.2,107,15,dijkstra,graph,0.64444,0,,,,,,0,,,,255125,192935,4634
46,9.96619963645935,2026-03-06T12:02:28.244871,120.67,0.0,7.41,23.9,0.98,0.0,0.0,171.31,4.86,0.348,0.346,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0086,2.237,0.022,1,0.9176,0,NORMAL,52.263,0.219,1,1,1,1,1,111.9,113,15,dijkstra,graph,0.61393,0,,,,,,0,,,,239174,183647,4484
47,10.161803483963013,2026-03-06T12:02:28.440475,126.1,0.0,8.06,19.46,1.07,0.0,0.0,174.24,4.89,0.351,0.348,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0086,2.237,0.022,1,0.9174,0,NORMAL,52.2,0.246,1,1,1,1,1,111.9,83,16,dijkstra,graph,0.64364,0,,,,,,0,,,,256265,192704,4664
48,10.357438087463379,2026-03-06T12:02:28.636110,119.75,0.0,8.64,23.15,1.03,0.0,0.0,171.11,4.89,0.352,0.351,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9577,0,NORMAL,52.353,0.217,1,1,1,1,1,111.9,99,16,dijkstra,graph,0.6336,0,,,,,,0,,,,251393,189793,4579
49,10.551917314529419,2026-03-06T12:02:28.830589,121.72,0.0,8.25,20.2,1.02,0.0,0.0,172.33,4.92,0.348,0.351,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.9477,0,NORMAL,52.286,0.278,1,1,1,1,1,114.2,85,18,dijkstra,graph,0.6555,0,,,,,,0,,,,261294,196381,4896
50,10.742422819137573,2026-03-06T12:02:29.021095,120.02,0.0,8.42,21.33,1.42,0.0,0.0,168.6,4.94,0.351,0.351,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.961,0,NORMAL,53.423,0.215,1,1,1,1,1,111.9,81,15,dijkstra,graph,0.64295,0,,,,,,0,,,,256793,192600,4402
51,10.935333728790283,2026-03-06T12:02:29.214005,121.9,0.0,8.15,19.72,0.85,0.0,0.47,169.79,4.95,0.355,0.351,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0089,2.192,0.021,1,0.9761,0,NORMAL,53.6,0.207,1,1,1,1,1,109.6,79,14,dijkstra,graph,0.64684,0,,,,,,0,,,,257559,193755,4226
52,11.135066986083984,2026-03-06T12:02:29.413739,123.47,0.0,8.46,25.37,0.74,0.0,0.0,177.53,4.97,0.359,0.355,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0089,2.192,0.021,1,0.9628,0,NORMAL,53.761,0.238,1,1,1,1,1,109.6,95,14,dijkstra,graph,0.64833,0,,,,,,0,,,,260851,194400,4269
53,11.329432010650635,2026-03-06T12:02:29.608104,120.24,0.0,8.93,21.49,0.42,0.0,1.02,170.88,5.01,0.361,0.359,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0089,2.192,0.021,1,0.9745,0,NORMAL,54.071,0.234,1,1,1,1,1,109.6,94,15,dijkstra,graph,0.65029,0,,,,,,0,,,,261393,194766,4309
54,11.523343086242676,2026-03-06T12:02:29.802015,123.37,0.0,9.09,19.39,1.02,0.0,0.0,171.6,5.02,0.362,0.361,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0089,2.192,0.021,1,0.9839,0,NORMAL,54.128,0.248,1,1,1,1,1,109.6,81,17,dijkstra,graph,0.65056,0,,,,,,0,,,,261506,194761,4526
55,11.718286752700806,2026-03-06T12:02:29.996958,123.8,0.0,8.39,19.68,0.33,0.0,1.02,173.02,5.02,0.36,0.361,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9791,0,NORMAL,54.229,0.282,1,1,1,1,1,111.9,79,16,dijkstra,graph,0.65419,0,,,,,,0,,,,263279,195831,4292
56,11.911118268966675,2026-03-06T12:02:30.189790,120.0,0.0,8.79,21.28,1.18,0.0,1.0,170.2,5.02,0.359,0.36,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9691,0,NORMAL,54.511,0.254,1,1,1,1,1,111.9,99,14,dijkstra,graph,0.65207,0,,,,,,0,,,,261233,195277,4592
57,12.11112928390503,2026-03-06T12:02:30.389801,124.73,0.0,8.8,24.56,1.0,0.0,0.0,176.75,5.02,0.361,0.36,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0089,2.192,0.021,1,0.9573,0,NORMAL,55.749,0.24,1,1,1,1,1,109.6,110,16,dijkstra,graph,0.66188,0,,,,,,0,,,,264229,198270,4679
58,12.306792497634888,2026-03-06T12:02:30.585464,120.3,0.0,7.68,20.98,1.7,0.0,0.0,171.61,5.03,0.362,0.361,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0089,2.192,0.021,1,0.9775,0,NORMAL,55.951,0.23,1,1,1,1,1,109.6,94,13,dijkstra,graph,0.65791,0,,,,,,0,,,,264170,197401,4239
59,12.506790399551392,2026-03-06T12:02:30.785462,130.09,0.0,8.22,19.17,1.26,0.0,0.0,177.72,5.03,0.36,0.361,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9754,0,NORMAL,55.703,0.236,1,1,1,1,1,111.9,79,14,dijkstra,graph,0.65366,0,,,,,,0,,,,264804,195992,3836
60,12.698334217071533,2026-03-06T12:02:30.977006,121.52,0.0,7.99,18.87,1.46,0.0,0.0,169.41,5.04,0.359,0.36,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9777,0,NORMAL,54.838,0.218,1,1,1,1,1,111.9,80,13,dijkstra,graph,0.64349,0,,,,,,0,,,,263145,192818,3626
61,12.887917280197144,2026-03-06T12:02:31.166589,119.83,0.0,8.41,17.61,2.43,0.0,0.0,166.77,5.05,0.358,0.359,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9809,0,NORMAL,54.205,0.203,1,1,1,1,1,111.9,82,13,dijkstra,graph,0.63789,0,,,,,,0,,,,262401,191151,3888
62,13.09020471572876,2026-03-06T12:02:31.368876,130.75,0.0,8.5,21.15,0.96,0.0,0.0,181.27,5.04,0.357,0.358,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0086,2.237,0.022,1,0.9763,0,NORMAL,53.225,0.192,1,1,1,1,1,111.9,89,13,dijkstra,graph,0.63562,0,,,,,,0,,,,260934,190569,3828
63,13.285502910614014,2026-03-06T12:02:31.564174,121.7,0.0,9.36,20.7,0.3,0.0,0.0,172.24,5.08,0.351,0.357,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.0082,2.283,0.021,1,0.973,0,NORMAL,53.334,0.166,1,1,1,1,1,114.2,94,14,dijkstra,graph,0.61886,0,,,,,,0,,,,257879,185511,3902
64,13.48665165901184,2026-03-06T12:02:31.765323,126.15,0.0,8.43,27.3,0.91,0.0,0.0,181.03,5.09,0.344,0.351,STRAIGHT,1.5,1.5,"CMD,0.4,1.50",4.0,0.008,2.329,0.022,1,0.9717,0,NORMAL,52.688,0.138,1,1,1,1,1,116.5,139,15,dijkstra,graph,0.62599,0,,,,,,0,,,,260573,187625,4085
65,13.696829795837402,2026-03-06T12:02:31.975501,126.43,0.0,9.07,30.47,0.67,0.0,0.0,185.26,5.11,0.343,0.344,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0082,2.283,0.021,1,0.9667,0,NORMAL,52.614,0.109,1,1,1,1,1,114.2,166,16,dijkstra,graph,0.62519,0,,,,,,0,,,,264335,187486,4591
66,13.900441408157349,2026-03-06T12:02:32.179113,123.38,0.0,8.25,29.25,0.0,0.0,0.0,179.65,5.1,0.342,0.343,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.0082,2.283,0.021,1,0.9606,0,NORMAL,53.96,0.045,1,1,1,1,1,114.2,146,17,dijkstra,graph,0.62014,0,,,,,,0,,,,266213,185840,4349
67,14.100361108779907,2026-03-06T12:02:32.379033,125.17,0.0,7.14,24.42,1.04,0.0,0.0,177.06,5.1,0.338,0.342,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.008,2.329,0.022,1,0.9602,0,NORMAL,55.299,0.012,1,1,1,1,1,116.5,115,17,dijkstra,graph,0.60946,0,,,,,,0,,,,264191,182793,4518
68,14.301735162734985,2026-03-06T12:02:32.580407,122.91,0.0,9.11,23.72,1.01,0.0,0.0,177.76,5.1,0.336,0.338,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.008,2.329,0.022,1,0.9652,0,NORMAL,54.364,-0.011,1,1,1,1,1,116.5,106,17,dijkstra,graph,0.61202,0,,,,,,0,,,,267739,183420,4472
69,14.514065504074097,2026-03-06T12:02:32.792737,131.43,0.0,8.42,28.99,0.55,0.0,0.0,189.27,5.08,0.334,0.336,STRAIGHT,1.5,1.5,"CMD,0.3,1.50",4.0,0.008,2.329,0.022,1,0.9736,0,NORMAL,53.449,-0.034,1,1,1,1,1,116.5,142,15,dijkstra,graph,0.61031,0,,,,,,0,,,,270435,183006,4519
